Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Operating Airline,Operating Airline Name,Year,Month,Airline Share,Passengers,PPDEW,Load Factor,ASK (Millions),RPK (Millions),Departures,Distance (km)
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,??,Unknown Airline,2019,11,51.98,97290.77,3243.0,,0.0,41.96,0.0,431.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,??,Unknown Airline,2019,11,50.6,91166.39,3038.9,,0.0,39.32,0.0,431.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,11,38.87,72751.24,2425.0,65.05,48.24,31.38,591.0,431.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,11,39.9,71900.24,2396.7,64.3,48.23,31.01,591.0,431.0
TXL,TEGEL AIRPORT,BERLIN,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,??,Unknown Airline,2019,11,43.1,66267.76,2208.9,,0.0,31.78,0.0,480.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,11,76.1,65295.4,2176.5,88.26,22.15,19.55,391.0,299.0
DUS,DUESSELDORF INTERNATIONAL AIRPORT,DUESSELDORF,GERMANY,WESTERN EUROPE,MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,11,55.12,64693.54,2156.5,85.02,36.98,31.44,417.0,486.0
HAM,HAMBURG AIRPORT,HAMBURG,GERMANY,WESTERN EUROPE,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,11,59.79,64025.89,2134.2,75.01,35.17,26.38,438.0,412.0
MUC,MUNICH INTERNATIONAL,MUNICH,GERMANY,WESTERN EUROPE,DUS,DUESSELDORF INTERNATIONAL AIRPORT,DUESSELDORF,GERMANY,WESTERN EUROPE,LH,Deutsche Lufthansa AG,2019,11,54.07,63943.28,2131.4,84.05,36.98,31.08,417.0,486.0
