Airline Code,Airline Name,S15,Share_S15,S16,Share_S16,S17,Share_S17,S18,Share_S18,S19,Share_S19
0B,BLUE AIR,0,0.0%,156,0.1%,314,0.3%,0,0.0%,0,0.0%
3L,INTERSKY LUFTFAHRT GMBH,1022,0.9%,0,0.0%,0,0.0%,0,0.0%,0,0.0%
3O,AIR ARABIA,0,0.0%,0,0.0%,16,0.0%,0,0.0%,0,0.0%
4U,GERMANWINGS,15519,13.2%,14456,12.5%,11568,9.9%,1386,1.0%,0,0.0%
5P,SMALL PLANET,0,0.0%,0,0.0%,0,0.0%,98,0.1%,0,0.0%
8Q,ONUR AIR TAIMACILIK A/S,420,0.4%,434,0.4%,506,0.4%,469,0.3%,638,0.5%
A3,AEGEAN AIRLINES,408,0.3%,536,0.5%,518,0.4%,510,0.4%,420,0.3%
AA,AMERICAN AIRLINES,0,0.0%,0,0.0%,0,0.0%,0,0.0%,132,0.1%
AB,AIR BERLIN GMBH,53893,45.8%,48758,42.0%,48781,41.6%,0,0.0%,0,0.0%
